"201","","2013-02-02","201","1","Brookeville","Austria","2019-02-09 21:17:41","2019-12-18 07:04:08",
"202","","2011-06-07","202","2","New Kasandra","Tuvalu","2019-02-02 07:47:56","2020-10-30 00:53:16",
"203","","2009-12-18","203","1","Arjunview","Benin","2018-12-26 20:02:43","2019-05-22 19:58:20",
"205","","1995-08-06","205","1","Vincenzoport","Australia","2013-08-05 03:05:13","2017-01-19 03:34:32",
"206","","1928-02-24","355","1","Jaedenhaven","Bahamas","2016-07-06 03:21:23","2018-09-03 16:44:32",
"207","","1985-03-28","207","1","North Dante","Samoa","2015-03-26 23:59:06","2019-02-25 09:43:02",
"208","","1954-08-28","357","1","South Roberto","Aruba","2016-03-16 20:06:05","2020-08-20 02:21:25",
"209","","2019-10-20","358","2","Harveyfort","Niger","2013-08-15 00:08:48","2016-03-21 07:50:45",
"210","","1935-10-12","359","1","Georgetteview","Uruguay","2012-12-12 01:11:05","2015-04-07 16:49:00",
"211","","1992-06-26","211","1","Jaskolskitown","Spain","2016-11-20 07:03:51","2019-06-29 10:10:21",
"212","","1956-04-14","212","2","Emmittland","Algeria","2013-07-27 06:05:41","2017-01-03 21:06:02",
"213","","1930-08-29","213","1","Mohamedview","Mozambique","2011-07-15 06:34:05","2017-07-12 00:50:40",
"214","","1934-01-19","363","1","Connberg","Guernsey","2014-10-22 03:49:59","2016-06-22 07:05:53",
"215","","1998-04-24","364","2","North Margarettburgh","Congo","2013-09-08 06:00:22","2018-04-05 22:36:57",
"216","","2018-03-19","365","1","North Marisolside","Ethiopia","2016-04-01 09:55:38","2019-03-30 07:23:40",
"217","","2005-07-25","217","1","Vitaland","Gabon","2013-11-24 02:59:39","2019-01-01 07:09:23",
"218","","1941-02-24","367","1","Bennieview","Saint Pierre and Miquelon","2018-12-29 08:55:30","2019-02-12 18:45:04",
"219","","1992-11-12","219","1","Port Ashlymouth","Nicaragua","2012-12-18 06:43:19","2016-04-25 05:00:10",
"220","","2004-11-29","369","1","McCulloughport","Nicaragua","2013-02-07 01:30:47","2017-08-21 17:17:53",
"222","","1981-01-13","371","1","West Curt","Christmas Island","2013-06-11 07:07:48","2013-10-20 14:52:40",
"223","","1972-06-19","223","1","Jaynehaven","Bouvet Island (Bouvetoya)","2012-08-31 14:28:20","2017-11-17 06:51:17",
"224","","2000-12-31","224","2","East Reyesstad","Solomon Islands","2018-12-30 20:01:29","2019-12-04 18:35:36",
"225","","1940-10-11","374","2","West Elta","Czech Republic","2012-11-13 00:30:34","2014-07-25 22:41:14",
"226","","1984-11-08","375","1","East Liam","Seychelles","2012-10-18 02:35:03","2013-03-30 14:25:43",
"227","","1967-05-09","227","1","Port Danykaside","Burundi","2013-07-03 10:03:35","2013-10-21 23:41:38",
"228","","1942-08-15","228","2","Rippinberg","Thailand","2017-01-02 20:11:34","2019-01-30 15:49:09",
"229","","1923-02-09","229","1","East Reillybury","Estonia","2012-01-17 22:30:54","2018-12-12 20:09:29",
"231","","1999-09-14","380","2","Bogisichfort","Saint Kitts and Nevis","2014-10-16 12:32:37","2017-02-18 09:43:51",
"232","","1928-01-08","232","2","South William","Montserrat","2018-11-12 11:07:05","2020-03-21 06:55:16",
"233","","2007-12-24","233","1","Lake Quincychester","Central African Republic","2020-04-17 20:03:48","2020-09-23 07:06:58",
"234","","1991-09-26","234","2","Port Jedediah","Saint Barthelemy","2012-11-05 21:24:40","2018-10-01 19:15:20",
"235","","2012-02-16","384","2","Ziememouth","Cape Verde","2012-12-03 07:08:59","2018-07-26 10:49:47",
"236","","1947-09-26","385","1","West Emanuel","Tokelau","2017-12-28 10:27:34","2018-05-02 12:58:52",
"237","","2002-01-25","237","1","Johannland","Dominican Republic","2012-11-23 11:10:42","2019-11-11 05:30:10",
"238","","1963-04-04","238","2","Lake Vena","Bangladesh","2012-02-26 04:18:39","2013-10-17 03:20:40",
"239","","1943-10-28","239","1","Lake Ezra","Iraq","2011-06-13 17:08:57","2014-09-24 07:27:27",
"240","","1933-02-15","240","2","South Stewartville","Slovenia","2020-05-06 01:57:05","2020-12-22 18:27:09",
"241","","1993-12-20","390","2","Nolanton","British Indian Ocean Territory (Chagos Archipelago)","2014-04-26 23:54:41","2015-01-19 05:05:50",
"243","","2014-11-16","392","2","South Tobinfort","Guernsey","2013-08-31 20:00:48","2016-04-02 08:57:59",
"244","","2000-04-28","244","2","Gusikowskifurt","Mali","2012-12-30 11:51:01","2020-10-10 15:56:34",
"245","","2001-04-17","394","2","East Stefaniestad","New Zealand","2011-03-01 05:48:53","2014-07-08 06:07:26",
"246","","1957-02-03","395","1","South Jadeview","Swaziland","2017-07-04 22:35:37","2019-09-18 14:54:32",
"247","","1921-04-05","247","1","South Averychester","Saudi Arabia","2012-09-08 05:04:49","2020-11-11 11:02:53",
"248","","1983-08-13","248","2","Alainatown","Antarctica (the territory South of 60 deg S)","2018-12-22 01:21:24","2020-08-12 01:48:00",
